Category,Amount,avg,min,max,perc%
Other,37868.0,631.1333333333333,5.0,10000.0,33.28235687039674
Food,24502.48,157.0671794871795,10.0,1530.0,21.535340751287595
Allowance,14000.0,2333.3333333333335,1000.0,8000.0,12.304663467454164
Household,12188.0,2031.3333333333333,70.0,4800.0,10.71208845295224
Transportation,9203.8,296.89677419354837,30.0,1575.0,8.089261544411047
Salary,8000.0,8000.0,8000.0,8000.0,7.0312362671166655
Apparel,3388.0,484.0,20.0,1800.0,2.977728559123908
Social Life,2513.7200000000003,502.744,100.0,1700.0,2.209319903672063
Education,1400.0,1400.0,1400.0,1400.0,1.2304663467454164
Self-development,400.0,400.0,400.0,400.0,0.3515618133558333
Beauty,196.0,196.0,196.0,196.0,0.17226528854435832
Gift,115.0,115.0,115.0,115.0,0.10107402133980208
Petty cash,3.0,3.0,3.0,3.0,0.0026367136001687495
