days,expenses,income,net_profit
2022-03-02,350.0,0.0,-350.0
2022-03-01,175.0,600.0,425.0
2022-02-28,339.15,200.0,-139.14999999999998
2022-02-27,243.0,0.0,-243.0
2022-02-26,1949.0,1500.0,-449.0
2022-02-25,33.0,0.0,-33.0
2022-02-24,916.7,0.0,-916.7
2022-02-23,881.0,0.0,-881.0
2022-02-22,120.0,0.0,-120.0
2022-02-21,1975.8,0.0,-1975.8
2022-02-20,200.0,0.0,-200.0
2022-02-19,2896.0,0.0,-2896.0
2022-02-18,348.0,0.0,-348.0
2022-02-17,80.0,0.0,-80.0
2022-02-16,640.0,0.0,-640.0
2022-02-13,100.0,0.0,-100.0
2022-02-12,641.0,10000.0,9359.0
2022-02-11,373.0,0.0,-373.0
2022-02-10,641.0,0.0,-641.0
2022-02-08,2099.0,1000.0,-1099.0
2022-02-07,214.0,0.0,-214.0
2022-02-06,2775.0,5000.0,2225.0
2022-02-04,80.0,0.0,-80.0
2022-02-03,200.0,0.0,-200.0
2022-02-02,120.0,500.0,380.0
2022-01-31,403.0,0.0,-403.0
2022-01-30,380.0,0.0,-380.0
2022-01-29,144.0,0.0,-144.0
2022-01-28,148.0,0.0,-148.0
2022-01-27,722.0,1800.0,1078.0
2022-01-26,140.0,125.0,-15.0
2022-01-25,602.0,0.0,-602.0
2022-01-24,173.0,0.0,-173.0
2022-01-23,1483.0,2310.0,827.0
2022-01-21,225.0,200.0,-25.0
2022-01-19,171.0,0.0,-171.0
2022-01-18,708.15,1000.0,291.85
2022-01-17,100.0,0.0,-100.0
2022-01-15,1435.0,1500.0,65.0
2022-01-14,1530.0,1160.0,-370.0
2022-01-13,109.0,1000.0,891.0
2022-01-12,780.75,200.0,-580.75
2022-01-11,135.5,0.0,-135.5
2022-01-10,106.0,0.0,-106.0
2022-01-08,5115.3,260.0,-4855.3
2022-01-07,15.0,0.0,-15.0
2022-01-06,949.81,440.0,-509.80999999999995
2022-01-05,2083.0,0.0,-2083.0
2022-01-04,1693.0,8000.0,6307.0
2022-01-03,310.0,646.0,336.0
2022-01-02,933.0,0.0,-933.0
2022-01-01,85.0,1000.0,915.0
2021-12-30,593.0,550.0,-43.0
2021-12-28,14.0,0.0,-14.0
2021-12-27,165.0,120.0,-45.0
2021-12-25,1310.0,0.0,-1310.0
2021-12-24,412.0,0.0,-412.0
2021-12-23,47.0,0.0,-47.0
2021-12-21,282.0,0.0,-282.0
2021-12-20,325.0,0.0,-325.0
2021-12-19,100.0,0.0,-100.0
2021-12-18,936.72,1400.0,463.28
2021-12-17,230.0,0.0,-230.0
2021-12-16,190.0,0.0,-190.0
2021-12-14,334.0,0.0,-334.0
2021-12-12,25.0,0.0,-25.0
2021-12-11,0.0,1240.0,1240.0
2021-12-10,436.0,0.0,-436.0
2021-12-09,455.0,0.0,-455.0
2021-12-08,125.0,0.0,-125.0
2021-12-07,40.0,0.0,-40.0
2021-12-06,815.0,0.0,-815.0
2021-12-05,6625.0,8000.0,1375.0
2021-12-04,619.0,0.0,-619.0
2021-12-03,215.0,1000.0,785.0
2021-12-02,579.0,0.0,-579.0
2021-12-01,356.0,0.0,-356.0
2021-11-30,313.0,0.0,-313.0
2021-11-29,170.0,0.0,-170.0
2021-11-28,363.4,0.0,-363.4
2021-11-27,390.0,2000.0,1610.0
2021-11-26,502.0,3.0,-499.0
2021-11-25,298.0,0.0,-298.0
2021-11-24,163.0,0.0,-163.0
2021-11-23,229.0,0.0,-229.0
2021-11-22,187.0,0.0,-187.0
2021-11-21,1005.0,2000.0,995.0
