Date,Account,Category,Note,Income/Expense,Amount
2022-03-02,CUB - online payment,Food,Brownie,Expense,50.0
2022-03-02,CUB - online payment,Other,To lended people,Expense,300.0
2022-03-01,CUB - online payment,Food,Dinner,Expense,78.0
2022-03-01,CUB - online payment,Transportation,Metro,Expense,30.0
2022-03-01,CUB - online payment,Food,Snacks,Expense,67.0
2022-03-01,CUB - online payment,Other,From vicky,Income,100.0
2022-03-01,CUB - online payment,Other,From dad,Income,500.0
2022-02-28,CUB - online payment,Food,Pizza,Expense,339.15
2022-02-28,CUB - online payment,Other,From kumara,Income,200.0
2022-02-27,CUB - online payment,Food,Lunch,Expense,243.0
2022-02-26,CUB - online payment,Food,,Expense,25.0
2022-02-26,CUB - online payment,Other,From dad,Income,1500.0
2022-02-26,CUB - online payment,Other,To karthi,Expense,100.0
2022-02-26,CUB - online payment,Social Life,,Expense,1700.0
2022-02-26,CUB - online payment,Food,Snacks,Expense,40.0
2022-02-26,CUB - online payment,Food,Tea lights,Expense,84.0
2022-02-25,CUB - online payment,Food,,Expense,33.0
2022-02-24,CUB - online payment,Household,,Expense,303.0
2022-02-24,CUB - online payment,Food,Creamstone,Expense,289.0
2022-02-24,CUB - online payment,Food,Tamen,Expense,324.7
2022-02-23,CUB - online payment,Apparel,Hoodie for gobi,Expense,399.0
2022-02-23,CUB - online payment,Food,Eggs,Expense,83.0
2022-02-23,CUB - online payment,Apparel,Earphone,Expense,399.0
2022-02-22,CUB - online payment,Transportation,Auto to laxmi mills,Expense,120.0
2022-02-21,CUB - online payment,Transportation,It better be worth it,Expense,1300.0
2022-02-21,CUB - online payment,Transportation,Travel to koyambedu,Expense,138.0
2022-02-21,CUB - online payment,Household,Stuffs,Expense,336.0
2022-02-21,CUB - online payment,Transportation,Train cbe to chn,Expense,201.8
2022-02-20,CUB - online payment,Food,Lunch,Expense,200.0
2022-02-19,CUB - online payment,Food,Random stuff for drinks,Expense,111.0
2022-02-19,CUB - online payment,Food,Snacks,Expense,250.0
2022-02-19,CUB - online payment,Transportation,Bus ticket,Expense,1575.0
2022-02-19,CUB - online payment,Transportation,Took from sbi,Expense,200.0
2022-02-19,CUB - online payment,Food,Ramen with gobi,Expense,380.0
2022-02-19,CUB - online payment,Transportation,Metro,Expense,60.0
2022-02-19,CUB - online payment,Other,To auto anna,Expense,50.0
2022-02-19,CUB - online payment,Transportation,To egmore,Expense,270.0
2022-02-18,CUB - online payment,Food,Kfc dinner,Expense,348.0
