Date,Category,Note,Amount,Income/Expense,Amount.1
2022-03-02,Food,Brownie,50.0,Expense,50.0
2022-03-02,Other,To lended people,300.0,Expense,300.0
2022-03-01,Food,Dinner,78.0,Expense,78.0
2022-03-01,Transportation,Metro,30.0,Expense,30.0
2022-03-01,Food,Snacks,67.0,Expense,67.0
2022-03-01,Other,From vicky,100.0,Income,100.0
2022-03-01,Other,From dad,500.0,Income,500.0
2022-02-28,Food,Pizza,339.15,Expense,339.15
2022-02-28,Other,From kumara,200.0,Income,200.0
2022-02-27,Food,Lunch,243.0,Expense,243.0
2022-02-26,Food,,25.0,Expense,25.0
2022-02-26,Other,From dad,1500.0,Income,1500.0
2022-02-26,Other,To karthi,100.0,Expense,100.0
2022-02-26,Social Life,,1700.0,Expense,1700.0
2022-02-26,Food,Snacks,40.0,Expense,40.0
2022-02-26,Food,Tea lights,84.0,Expense,84.0
2022-02-25,Food,,33.0,Expense,33.0
2022-02-24,Household,,303.0,Expense,303.0
2022-02-24,Food,Creamstone,289.0,Expense,289.0
2022-02-24,Food,Tamen,324.7,Expense,324.7
2022-02-23,Apparel,Hoodie for gobi,399.0,Expense,399.0
2022-02-23,Food,Eggs,83.0,Expense,83.0
2022-02-23,Apparel,Earphone,399.0,Expense,399.0
2022-02-22,Transportation,Auto to laxmi mills,120.0,Expense,120.0
2022-02-21,Transportation,It better be worth it,1300.0,Expense,1300.0
2022-02-21,Transportation,Travel to koyambedu,138.0,Expense,138.0
2022-02-21,Household,Stuffs,336.0,Expense,336.0
2022-02-21,Transportation,Train cbe to chn,201.8,Expense,201.8
2022-02-20,Food,Lunch,200.0,Expense,200.0
2022-02-19,Food,Random stuff for drinks,111.0,Expense,111.0
2022-02-19,Food,Snacks,250.0,Expense,250.0
2022-02-19,Transportation,Bus ticket,1575.0,Expense,1575.0
2022-02-19,Transportation,Took from sbi,200.0,Expense,200.0
2022-02-19,Food,Ramen with gobi,380.0,Expense,380.0
2022-02-19,Transportation,Metro,60.0,Expense,60.0
2022-02-19,Other,To auto anna,50.0,Expense,50.0
2022-02-19,Transportation,To egmore,270.0,Expense,270.0
2022-02-18,Food,Kfc dinner,348.0,Expense,348.0
2022-02-17,Food,Lunch,80.0,Expense,80.0
2022-02-16,Food,Side dishes,165.0,Expense,165.0
2022-02-16,Food,Kfc ,475.0,Expense,475.0
2022-02-13,Social Life,Games ,100.0,Expense,100.0
2022-02-12,Food,Dinner with aravind and buddies,491.0,Expense,491.0
2022-02-12,Household,Mirror,70.0,Expense,70.0
2022-02-12,Food,Lunch,80.0,Expense,80.0
2022-02-12,Other,From dad,10000.0,Income,10000.0
2022-02-11,Food,Dinner with aravind,373.0,Expense,373.0
2022-02-10,Food,Kfc dinner,641.0,Expense,641.0
2022-02-08,Other,From dad,1000.0,Income,1000.0
2022-02-08,Household,Bean bag,2099.0,Expense,2099.0
2022-02-07,Transportation,Auto to Gobi's place,214.0,Expense,214.0
2022-02-06,Food,Cakepark,125.0,Expense,125.0
2022-02-06,Food,To kumara,150.0,Expense,150.0
2022-02-06,Transportation,To chennai,1000.0,Expense,1000.0
2022-02-06,Other,Salary from dad,5000.0,Income,5000.0
2022-02-06,Other,To gobi,1500.0,Expense,1500.0
2022-02-04,Food,Shawarma,80.0,Expense,80.0
2022-02-03,Food,Good soup,50.0,Expense,50.0
2022-02-03,Other,To gowdham,150.0,Expense,150.0
2022-02-02,Food,Parotta,120.0,Expense,120.0
2022-02-02,Other,From dad,500.0,Income,500.0
2022-01-31,Transportation,Vnr to apk,50.0,Expense,50.0
2022-01-31,Other,To vicky,200.0,Expense,200.0
2022-01-31,Transportation,To ksr station,153.0,Expense,153.0
2022-01-30,Food,Dinner,155.0,Expense,155.0
2022-01-30,Food,Cycle gap ,120.0,Expense,120.0
